
GENERATION NUMBER,  1,

SELECTION STAGE 

FAR,0,%,FITNESS,1

GENERATION NUMBER,  15,

SELECTION STAGE 

KILL,0,%,FITNESS,3
FETCH,1,%,FITNESS,1
GATHER,99,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,19,%,FITNESS,1
MID,80,%,FITNESS,2
FAR,1,%,FITNESS,1
FINAL STAGE 

KILL,4,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,96,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,4,%,FITNESS,1
MID,92,%,FITNESS,2
FAR,4,%,FITNESS,1

GENERATION NUMBER,  16,

SELECTION STAGE 

KILL,8,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,92,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,3,%,FITNESS,1
MID,90,%,FITNESS,2
FAR,7,%,FITNESS,1
FINAL STAGE 

KILL,8,%,FITNESS,3
FETCH,8,%,FITNESS,1
GATHER,84,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,4,%,FITNESS,1
MID,96,%,FITNESS,2
FAR,0,%,FITNESS,1

GENERATION NUMBER,  17,

SELECTION STAGE 

KILL,15,%,FITNESS,3
FETCH,7,%,FITNESS,1
GATHER,78,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,9,%,FITNESS,1
MID,87,%,FITNESS,2
FAR,4,%,FITNESS,1
FINAL STAGE 

KILL,16,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,84,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,4,%,FITNESS,1
MID,88,%,FITNESS,2
FAR,8,%,FITNESS,1

GENERATION NUMBER,  18,

SELECTION STAGE 

KILL,8,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,92,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,8,%,FITNESS,1
MID,83,%,FITNESS,2
FAR,9,%,FITNESS,1
FINAL STAGE 

KILL,0,%,FITNESS,3
FETCH,4,%,FITNESS,1
GATHER,96,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,4,%,FITNESS,1
MID,92,%,FITNESS,2
FAR,4,%,FITNESS,1

GENERATION NUMBER,  19,

SELECTION STAGE 

KILL,0,%,FITNESS,3
FETCH,2,%,FITNESS,1
GATHER,98,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,8,%,FITNESS,1
MID,79,%,FITNESS,2
FAR,13,%,FITNESS,1
FINAL STAGE 

KILL,8,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,88,%,FITNESS,12
EXPLORE,4,%,FITNESS,1
CLOSE,4,%,FITNESS,1
MID,84,%,FITNESS,2
FAR,12,%,FITNESS,1

GENERATION NUMBER,  20,

SELECTION STAGE 

KILL,4,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,95,%,FITNESS,12
EXPLORE,1,%,FITNESS,1
CLOSE,6,%,FITNESS,1
MID,69,%,FITNESS,2
FAR,25,%,FITNESS,1
FINAL STAGE 

KILL,0,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,100,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,0,%,FITNESS,1
MID,84,%,FITNESS,2
FAR,16,%,FITNESS,1

GENERATION NUMBER,  21,

SELECTION STAGE 

KILL,0,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,100,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,3,%,FITNESS,1
MID,81,%,FITNESS,2
FAR,16,%,FITNESS,1
FINAL STAGE 

KILL,0,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,96,%,FITNESS,12
EXPLORE,4,%,FITNESS,1
CLOSE,4,%,FITNESS,1
MID,88,%,FITNESS,2
FAR,8,%,FITNESS,1

GENERATION NUMBER,  22,

SELECTION STAGE 

KILL,0,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,96,%,FITNESS,12
EXPLORE,4,%,FITNESS,1
CLOSE,9,%,FITNESS,1
MID,81,%,FITNESS,2
FAR,10,%,FITNESS,1
FINAL STAGE 

KILL,4,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,96,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,4,%,FITNESS,1
MID,92,%,FITNESS,2
FAR,4,%,FITNESS,1

GENERATION NUMBER,  23,

SELECTION STAGE 

KILL,9,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,91,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,1,%,FITNESS,1
MID,93,%,FITNESS,2
FAR,6,%,FITNESS,1
FINAL STAGE 

KILL,0,%,FITNESS,3
FETCH,4,%,FITNESS,1
GATHER,92,%,FITNESS,12
EXPLORE,4,%,FITNESS,1
CLOSE,0,%,FITNESS,1
MID,100,%,FITNESS,2
FAR,0,%,FITNESS,1

GENERATION NUMBER,  24,

SELECTION STAGE 

KILL,0,%,FITNESS,3
FETCH,4,%,FITNESS,1
GATHER,91,%,FITNESS,12
EXPLORE,5,%,FITNESS,1
CLOSE,2,%,FITNESS,1
MID,94,%,FITNESS,2
